,Abandonó_Servicio,Adulto_Mayor,Tiene_Pareja,Tiene_Dependientes,Antigüedad,Servicio_Telefónico,Múltiples_Líneas,Seguridad_Online,Respaldo_Online,Protección_Dispositivo,Soporte_Técnico,TV_Streaming,Películas_Streaming,Cargo_Mensual,Cargo_Total,Cuentas_Diarias,Género_Masculino,Servicio_Internet_Fibra optica,Servicio_Internet_No,Tipo_Contrato_Bianual,Tipo_Contrato_Mensual,Factura_Digital_Yes,Método_Pago_Cheque enviado por correo,Método_Pago_Tarjeta de crédito (automático),Método_Pago_Transferencia bancaria (automática)
29,0,0,1,1,69,1,0,0,0,0,0,0,0,19.7,1396.9,0.6748309178743962,0,0,1,1,0,0,0,0,1
30,0,0,1,1,37,1,0,0,0,0,0,1,1,91.2,3247.55,2.925720720720721,1,1,0,0,0,0,0,1,0
31,0,0,1,0,49,1,0,0,0,0,0,0,0,20.45,900.9,0.6128571428571429,0,0,1,0,0,0,0,0,1
32,0,0,1,0,66,1,1,1,1,1,1,1,1,115.8,7942.15,4.011186868686869,1,1,0,0,0,0,0,0,1
33,0,0,0,0,67,1,0,0,0,0,0,0,0,20.55,1343.4,0.6683582089552239,0,0,1,0,0,0,0,0,0
34,0,0,1,1,20,0,0,1,0,1,1,0,0,39.4,825.4,1.3756666666666666,1,0,0,1,0,1,0,1,0
35,0,0,0,1,43,1,1,0,0,0,0,0,0,25.1,1070.15,0.8295736434108528,0,0,1,1,0,1,0,0,0
36,0,0,1,0,55,1,1,1,0,0,0,1,0,89.8,4959.6,3.005818181818182,0,1,0,0,1,1,0,0,1
37,0,0,1,0,59,1,1,1,1,0,0,1,0,94.75,5597.65,3.1625141242937853,0,1,0,0,1,1,0,0,0
38,0,0,1,1,12,1,0,0,0,0,0,0,0,20.3,224.5,0.6236111111111111,0,0,1,1,0,0,0,0,1
39,0,0,1,1,27,1,1,0,0,0,0,0,0,75.75,1929.0,2.3814814814814813,1,1,0,0,1,1,0,0,1
40,1,1,0,0,2,1,0,1,0,0,0,0,0,49.25,91.1,1.518333333333333,1,0,0,0,1,1,0,0,0
41,0,0,0,0,27,1,0,0,1,1,1,1,1,78.2,2078.95,2.5666049382716047,0,0,0,0,0,0,1,0,0
42,0,0,1,1,25,1,1,0,0,0,0,0,0,25.5,630.6,0.8408,1,0,1,1,0,0,0,1,0
43,0,0,1,1,25,1,0,1,1,1,0,0,0,61.6,1611.0,2.148,1,0,0,0,0,1,0,0,1
44,0,0,0,1,29,0,0,1,1,1,1,0,0,45.0,1242.45,1.428103448275862,1,0,0,0,1,1,1,0,0
45,0,0,1,0,72,1,1,0,1,1,1,1,1,85.15,6316.2,2.924166666666667,1,0,0,1,0,1,0,0,1
46,0,0,0,0,14,1,0,0,1,0,0,0,0,51.45,727.85,1.7329761904761904,0,0,0,0,0,0,0,1,0
47,0,0,0,0,35,1,0,0,0,1,1,1,1,99.25,3532.0,3.363809523809524,0,1,0,0,0,1,0,0,0
48,0,0,0,0,1,1,0,0,0,0,0,0,0,44.3,44.3,1.4766666666666666,1,0,0,0,1,1,1,0,0
49,0,0,0,0,29,1,0,0,0,0,1,1,1,94.2,2607.6,2.9972413793103447,1,1,0,0,1,1,0,0,0
50,0,0,0,0,64,1,1,1,1,1,1,1,0,81.25,5567.55,2.899765625,1,0,0,0,0,0,0,0,0
51,0,0,1,1,39,1,1,0,0,0,1,1,1,99.95,3767.4,3.22,0,1,0,0,1,1,0,1,0
52,0,1,0,0,40,1,0,0,0,0,0,1,1,91.55,3673.6,3.061333333333333,0,1,0,0,1,1,0,0,0
53,1,0,0,0,40,1,1,0,1,1,0,1,1,104.5,4036.85,3.3640416666666666,1,1,0,0,1,1,0,1,0
54,1,1,0,0,11,1,0,0,1,0,0,1,1,95.0,1120.3,3.394848484848485,0,1,0,0,1,1,0,0,0
55,0,0,1,0,6,1,1,0,0,0,0,0,0,50.35,314.55,1.7475,0,0,0,0,1,0,0,0,0
56,0,0,0,0,30,1,1,1,0,0,0,0,1,64.5,1888.45,2.0982777777777777,1,0,0,0,1,1,1,0,0
57,0,0,0,0,27,1,0,0,0,0,0,0,0,19.4,529.8,0.654074074074074,1,0,1,0,1,1,0,0,0
58,0,1,1,0,70,1,1,0,1,1,0,1,1,104.8,7308.95,3.480452380952381,1,1,0,0,0,1,0,0,0
59,0,0,1,0,57,1,1,0,1,1,1,1,1,109.4,6252.7,3.656549707602339,0,1,0,0,0,1,0,0,1
60,0,0,1,0,58,1,0,0,0,1,0,0,0,50.3,2878.55,1.6543390804597702,1,0,0,0,0,0,0,1,0
61,0,0,0,0,16,1,1,0,1,1,0,0,1,71.4,1212.1,2.525208333333333,1,0,0,0,1,1,0,0,1
62,0,0,1,0,69,1,1,1,1,1,1,1,1,116.0,8182.85,3.953067632850242,0,1,0,1,0,1,0,0,0
63,1,0,0,0,1,1,0,0,0,0,0,0,0,19.85,19.85,0.6616666666666667,1,0,1,0,1,1,0,0,0
64,1,0,0,1,1,1,1,0,0,1,0,1,1,99.75,99.75,3.325,1,1,0,0,1,1,0,0,0
65,0,1,1,1,32,1,0,0,1,0,0,1,1,93.95,2861.45,2.980677083333333,1,1,0,0,1,1,1,0,0
66,0,0,1,1,16,1,1,0,0,1,0,1,0,90.8,1442.2,3.0045833333333336,1,1,0,0,1,1,0,0,1
67,1,0,1,0,49,1,1,1,0,1,1,1,1,84.35,4059.35,2.761462585034013,1,0,0,0,0,0,0,0,0
68,0,0,1,0,71,0,0,0,1,1,1,1,1,58.25,4145.9,1.946431924882629,0,0,0,1,0,0,0,0,1
69,0,0,0,0,33,1,1,0,1,1,0,1,1,107.55,3645.5,3.682323232323232,0,1,0,0,1,0,0,0,0
70,0,0,1,0,10,1,0,0,0,0,0,0,0,19.95,187.75,0.6258333333333334,0,0,1,0,1,1,0,0,1
71,1,0,1,0,21,1,1,0,1,1,1,1,1,111.2,2317.1,3.677936507936508,1,1,0,0,1,1,0,0,0
72,1,0,1,1,37,0,0,1,1,1,0,0,0,40.2,1448.8,1.3052252252252252,1,0,0,0,1,0,0,0,1
73,0,1,0,0,26,1,0,1,0,0,0,1,0,85.8,2193.65,2.812371794871795,0,1,0,0,1,1,0,1,0
74,0,0,0,0,50,0,0,1,0,0,1,0,0,35.4,1748.9,1.1659333333333337,1,0,0,0,0,1,1,0,0
75,1,0,0,0,7,1,1,0,0,0,0,0,0,73.85,511.25,2.4345238095238093,0,1,0,0,1,1,0,0,0
76,0,0,1,1,61,1,1,1,1,1,1,1,1,88.1,5526.75,3.0200819672131147,0,0,0,1,0,0,1,0,0
77,1,0,0,0,15,1,0,0,0,1,1,1,1,101.35,1553.95,3.453222222222222,1,1,0,0,1,1,0,0,0
78,0,0,0,1,26,0,0,1,0,0,1,0,1,45.8,1147.0,1.4705128205128206,0,0,0,0,1,0,1,0,0
79,0,0,1,0,72,1,0,0,0,1,0,1,1,94.65,6747.35,3.1237731481481483,1,1,0,0,1,1,0,0,0
80,0,0,1,1,44,1,0,0,0,0,0,0,0,20.5,865.05,0.655340909090909,1,0,1,0,0,1,0,0,1
81,0,0,0,0,66,1,1,0,1,0,0,0,1,89.4,5976.9,3.018636363636364,1,1,0,0,1,0,0,1,0
82,1,0,0,0,2,1,0,1,1,0,1,0,0,86.25,181.65,3.0275000000000003,0,1,0,0,1,1,0,0,0
83,0,1,0,0,44,1,0,0,0,1,1,1,1,74.85,3268.05,2.475795454545455,0,0,0,0,0,0,0,0,1
84,1,0,0,0,12,1,1,0,1,0,0,1,0,89.75,1052.4,2.923333333333334,0,1,0,0,1,1,0,0,1
85,0,1,1,0,69,1,1,0,1,1,1,1,1,109.95,7634.25,3.6880434782608695,1,1,0,1,0,1,0,0,0
86,1,0,0,0,1,1,1,0,1,0,0,0,0,80.2,80.2,2.6733333333333333,0,1,0,0,1,1,1,0,0
87,1,0,0,0,3,1,0,0,0,0,0,0,0,19.85,63.75,0.7083333333333334,0,0,1,0,1,0,1,0,0
88,0,0,1,0,2,1,0,1,1,0,0,1,0,90.35,190.5,3.175,0,1,0,0,1,0,0,0,0
89,0,1,0,0,27,1,1,0,1,1,0,0,0,86.45,2401.05,2.96425925925926,0,1,0,0,1,1,0,0,1
90,0,0,0,0,26,1,0,0,0,0,0,0,0,20.3,511.25,0.655448717948718,1,0,1,0,1,1,0,0,0
91,0,1,1,0,39,1,1,0,0,0,1,1,1,101.25,3949.15,3.3753418803418804,0,1,0,0,1,1,0,0,0
92,1,0,0,0,25,1,1,0,0,0,0,1,1,94.7,2362.1,3.149466666666666,1,1,0,0,1,1,0,0,1
93,1,0,0,0,1,1,0,0,0,0,0,0,0,70.9,70.9,2.3633333333333337,0,1,0,0,1,0,1,0,0
94,1,0,1,0,22,1,0,1,0,0,1,0,0,54.2,1152.7,1.7465151515151516,1,0,0,0,1,1,0,0,0
95,0,0,0,0,72,1,1,1,1,1,1,1,1,114.9,8496.7,3.933657407407408,0,1,0,1,0,1,0,0,0
96,0,0,0,0,24,1,0,0,0,0,0,0,0,19.55,470.2,0.6530555555555555,0,0,1,1,0,1,0,0,1
97,0,0,1,0,19,1,1,0,0,0,0,1,0,86.85,1564.4,2.744561403508772,0,1,0,0,1,1,0,0,0
98,0,0,1,1,71,1,1,0,0,0,0,0,0,25.35,1847.55,0.8673943661971831,1,0,1,1,0,0,0,1,0
99,0,1,1,0,33,1,1,1,0,1,1,1,1,109.9,3694.7,3.732020202020202,1,1,0,0,1,1,0,0,1
100,0,0,0,0,3,1,0,0,0,0,0,0,0,19.95,58.0,0.6444444444444445,0,0,1,0,1,0,1,0,0
101,0,0,1,1,47,1,1,0,1,0,0,1,0,87.2,4017.45,2.849255319148936,1,1,0,0,1,0,0,0,0
102,0,0,1,1,62,1,0,1,1,1,1,1,1,108.15,6825.65,3.669704301075269,1,1,0,1,0,0,1,0,0
103,0,0,0,0,71,1,1,1,1,1,1,1,1,116.3,8309.55,3.901197183098591,1,1,0,0,0,1,0,0,1
104,0,1,1,0,7,1,0,0,0,0,0,1,1,89.0,605.45,2.883095238095238,1,1,0,0,1,1,0,0,0
105,0,0,1,1,27,1,0,1,0,0,0,0,0,74.4,1972.35,2.435,0,1,0,0,1,0,1,0,0
106,0,0,0,0,2,1,0,0,0,0,0,0,0,20.05,33.7,0.5616666666666668,1,0,1,0,1,0,1,0,0
107,0,0,0,1,25,0,0,1,0,0,1,0,0,35.05,844.45,1.1259333333333337,0,0,0,1,0,0,0,0,1
108,0,1,0,0,30,1,0,1,1,0,0,1,1,74.75,2111.3,2.345888888888889,1,0,0,0,1,1,0,0,0
109,1,1,1,0,58,1,0,1,1,0,1,1,1,105.5,6205.5,3.566379310344828,0,1,0,0,0,1,0,1,0
110,1,0,1,0,10,1,1,0,0,0,0,0,1,85.25,855.3,2.851,1,1,0,0,1,1,0,0,0
111,0,0,0,0,9,1,1,0,0,0,0,0,0,75.2,633.85,2.347592592592593,0,1,0,0,1,1,0,1,0
112,1,1,1,0,6,1,1,0,0,0,0,0,1,84.35,474.9,2.638333333333333,0,1,0,0,1,1,0,0,0
113,0,0,1,1,69,1,1,1,0,1,0,0,0,84.45,5848.6,2.825410628019324,0,1,0,0,0,0,0,0,1
114,0,1,0,0,66,1,1,1,0,0,0,1,1,102.4,6471.85,3.268611111111112,0,1,0,1,0,1,0,0,1
115,1,0,0,0,70,1,1,1,1,1,1,1,1,115.55,8127.6,3.8702857142857146,0,1,0,0,0,0,0,1,0
116,1,0,0,0,25,1,1,0,0,0,0,0,0,25.3,676.35,0.9018,1,0,1,0,0,0,0,0,1
117,0,0,1,1,46,1,0,0,0,0,0,0,0,19.25,864.2,0.626231884057971,0,0,1,1,0,1,1,0,0
118,0,0,1,0,54,1,1,1,1,1,1,1,1,114.65,6049.5,3.734259259259259,0,1,0,0,0,1,1,0,0
119,1,0,0,0,15,1,0,1,0,1,1,1,1,105.1,1582.75,3.5172222222222222,0,1,0,0,1,0,0,0,0
120,0,0,1,1,12,1,0,0,0,0,0,0,0,19.4,198.1,0.5502777777777778,0,0,1,0,1,0,0,0,1
121,0,0,0,0,22,0,0,0,1,0,0,1,1,50.35,1098.85,1.6649242424242423,0,0,0,0,1,1,0,0,0
122,0,0,1,0,70,0,0,0,1,1,1,1,1,57.8,4039.3,1.9234761904761903,0,0,0,1,0,0,0,0,1
123,0,0,0,0,30,1,0,1,1,1,0,0,0,84.3,2438.6,2.7095555555555557,1,1,0,0,1,1,0,1,0
124,0,0,1,1,71,1,1,0,1,0,0,1,1,100.55,7113.75,3.339788732394366,1,1,0,0,0,0,0,0,1
125,0,0,1,0,30,1,0,0,0,0,0,0,0,19.8,576.65,0.6407222222222222,1,0,1,0,0,0,0,1,0
126,1,0,1,1,4,1,1,0,1,1,0,0,0,84.8,371.9,3.099166666666666,1,1,0,0,1,1,0,0,1
127,1,0,0,0,2,1,0,0,0,1,0,0,1,85.85,167.3,2.7883333333333336,1,1,0,0,1,1,0,0,0
128,0,0,0,1,10,1,0,0,0,0,0,0,0,19.95,219.5,0.7316666666666667,1,0,1,0,0,1,0,0,1
129,0,1,0,0,4,1,0,1,0,0,0,0,0,75.35,273.4,2.2783333333333333,1,1,0,0,1,0,0,0,0
130,0,1,0,0,52,0,0,1,0,0,0,1,1,48.8,2555.05,1.6378525641025643,1,0,0,0,1,1,0,1,0
131,1,0,0,0,5,1,1,0,0,0,0,0,0,47.15,223.15,1.4876666666666667,1,0,0,0,1,0,0,0,0
132,0,0,1,1,8,1,0,0,0,0,0,0,0,20.15,165.5,0.6895833333333333,1,0,1,1,0,0,1,0,0
133,0,1,0,0,2,1,0,0,0,0,0,0,0,44.3,89.3,1.4883333333333333,0,0,0,0,1,1,0,0,0
134,0,0,0,0,3,1,0,0,1,0,0,0,1,84.3,235.05,2.611666666666667,1,1,0,0,1,0,0,0,0
135,0,0,0,0,19,1,1,0,0,1,1,0,0,59.55,1144.6,2.008070175438596,1,0,0,0,1,0,0,0,0
136,0,0,0,0,72,1,1,1,1,1,1,0,0,69.65,4908.25,2.272337962962963,1,0,0,1,0,0,0,0,1
137,0,1,1,0,63,0,0,1,0,0,1,0,0,36.1,2298.9,1.2163492063492063,1,0,0,0,0,0,0,0,1
138,0,0,1,0,66,0,0,1,1,1,1,1,0,56.6,3789.2,1.9137373737373735,1,0,0,1,0,1,0,0,1
139,1,0,0,0,1,1,0,0,0,0,1,0,0,75.9,75.9,2.53,1,1,0,0,1,1,0,0,0
140,0,0,0,0,60,1,1,0,0,1,0,0,0,79.2,4765.0,2.647222222222222,0,1,0,0,0,1,0,0,1
141,0,0,1,1,48,0,0,1,0,1,0,0,1,45.0,2196.3,1.5252083333333335,0,0,0,0,0,0,0,1,0
142,1,0,0,0,1,1,0,0,0,1,0,1,0,85.55,85.55,2.8516666666666666,0,1,0,0,1,1,0,1,0
143,1,0,0,0,15,1,1,0,0,0,0,1,1,93.35,1444.65,3.2103333333333337,1,1,0,0,1,1,0,0,0
144,0,0,1,0,50,1,1,1,1,0,1,1,1,109.65,5405.8,3.6038666666666663,0,1,0,0,1,1,0,0,1
145,0,0,1,1,72,1,1,1,1,1,1,1,1,89.7,6339.3,2.934861111111111,1,0,0,1,0,0,0,1,0
146,0,0,0,0,46,1,1,1,1,0,0,0,0,84.25,3847.6,2.7881159420289854,0,1,0,0,1,0,1,0,0
147,0,0,1,1,72,1,1,1,1,1,1,1,1,92.65,6733.0,3.1171296296296296,0,0,0,1,0,0,0,0,1
148,0,0,1,1,1,1,0,0,0,0,0,0,0,19.7,19.7,0.6566666666666666,1,0,1,0,1,0,1,0,0
149,0,0,0,0,1,1,1,0,0,0,0,0,0,50.1,50.1,1.6700000000000002,0,0,0,0,1,1,0,0,0
150,0,1,0,0,67,1,0,1,1,0,1,1,0,92.45,6140.85,3.055149253731344,0,1,0,1,0,1,0,0,1
151,0,0,1,1,48,1,1,0,1,0,1,1,1,79.65,3870.3,2.6877083333333336,0,0,0,1,0,0,0,0,0
152,0,0,0,0,72,1,0,1,1,1,1,1,1,109.9,7624.2,3.529722222222222,0,1,0,1,0,1,0,0,0
153,0,0,1,0,52,1,1,1,1,1,1,0,1,81.4,4354.45,2.7913141025641024,1,0,0,0,0,1,0,1,0
154,0,0,1,1,67,1,0,0,1,0,0,0,0,50.55,3431.75,1.7073383084577114,0,0,0,0,0,0,0,1,0
155,1,0,1,1,28,1,0,0,0,0,0,0,1,81.05,2227.1,2.651309523809524,0,1,0,0,1,1,0,0,0
156,0,0,1,1,32,1,1,0,1,1,0,0,0,62.45,2045.55,2.13078125,0,0,0,0,1,0,0,0,1
157,1,1,1,0,27,1,0,1,0,0,0,0,0,75.2,1929.35,2.3819135802469136,0,1,0,0,1,1,0,0,1
158,0,0,0,0,3,1,0,0,1,1,0,0,1,90.4,268.45,2.9827777777777778,1,1,0,0,1,0,0,0,0
159,1,0,0,0,2,1,1,0,0,0,0,1,0,85.65,181.5,3.025,1,1,0,0,1,1,0,0,0
160,1,0,0,1,9,1,0,0,0,1,1,1,1,72.9,651.4,2.4125925925925924,0,0,0,0,1,1,1,0,0
161,0,0,1,1,50,1,1,1,0,0,1,1,0,70.5,3486.65,2.3244333333333334,1,0,0,1,0,1,0,1,0
162,0,0,1,1,71,1,0,0,0,0,0,0,0,20.1,1389.6,0.652394366197183,0,0,1,1,0,0,0,0,1
163,1,1,1,0,32,1,1,0,0,0,0,0,0,74.9,2303.35,2.3993229166666667,1,1,0,0,1,1,0,0,0
164,0,0,1,1,16,1,0,1,0,1,0,1,1,100.7,1522.7,3.1722916666666667,0,1,0,0,1,0,0,0,1
165,0,0,1,1,67,1,1,0,0,1,1,1,1,105.65,6717.9,3.342238805970149,0,1,0,1,0,1,0,0,1
166,0,0,1,1,72,1,1,1,1,1,1,1,1,114.3,8058.55,3.730810185185186,1,1,0,1,0,1,0,1,0
167,1,0,0,0,3,1,0,0,0,0,0,0,0,19.75,58.85,0.6538888888888889,0,0,1,0,1,0,0,0,0
168,0,0,1,1,23,1,1,0,0,0,0,0,0,24.35,538.5,0.7804347826086957,1,0,1,0,0,0,1,0,0
169,0,0,1,1,72,1,1,1,1,1,1,0,0,69.85,5102.35,2.3621990740740744,1,0,0,1,0,0,0,0,1
170,0,0,1,1,7,0,0,1,1,1,0,1,1,58.85,465.7,2.2176190476190474,1,0,0,0,1,0,1,0,0
171,0,0,1,1,8,1,0,0,0,0,0,1,0,54.4,475.1,1.9795833333333333,1,0,0,0,1,1,0,0,0
172,0,0,1,1,66,0,0,0,0,0,1,1,1,50.55,3364.55,1.6992676767676769,1,0,0,1,0,0,0,0,1
173,1,0,0,0,5,1,0,0,0,0,0,0,0,21.05,113.85,0.759,1,0,1,0,1,0,1,0,0
174,1,0,0,0,49,1,1,0,1,1,0,1,1,103.7,5036.3,3.426054421768708,1,1,0,0,1,1,0,0,1
175,0,0,1,0,63,1,0,0,0,0,0,0,0,19.95,1234.8,0.6533333333333333,1,0,1,1,0,1,0,0,1
176,0,1,1,1,12,0,0,0,0,0,1,0,0,29.3,355.9,0.988611111111111,0,0,0,0,1,1,1,0,0
177,0,0,1,1,27,1,0,1,1,0,0,0,0,54.75,1510.3,1.864567901234568,1,0,0,0,1,1,0,1,0
178,0,0,0,0,35,1,0,1,1,1,0,0,0,60.55,1982.6,1.888190476190476,0,0,0,0,1,0,0,0,0
179,0,0,1,1,54,1,1,0,1,1,1,1,1,86.2,4524.05,2.792623456790124,0,0,0,0,1,1,0,0,0
180,1,0,0,0,1,1,1,0,0,0,0,1,1,95.45,95.45,3.181666666666666,1,1,0,0,1,1,0,0,0
181,0,0,0,0,5,1,0,0,0,1,1,1,0,63.95,318.1,2.1206666666666667,1,0,0,0,1,1,0,1,0
182,0,0,0,0,19,1,0,0,1,0,1,0,1,65.35,1231.85,2.1611403508771927,1,0,0,0,0,1,0,0,1
183,0,0,1,1,52,0,0,0,1,1,1,1,0,50.2,2554.0,1.6371794871794871,1,0,0,1,0,0,1,0,0
184,0,0,1,1,72,0,0,1,1,1,1,1,1,63.8,4684.3,2.1686574074074074,0,0,0,1,0,1,0,0,1
185,0,0,0,0,32,1,0,0,0,0,0,0,0,20.05,614.45,0.6400520833333334,1,0,1,1,0,1,0,0,1
186,1,0,1,0,8,1,0,0,1,1,0,1,1,101.15,842.9,3.512083333333333,0,1,0,0,1,0,0,0,0
187,0,0,0,0,41,1,1,0,0,1,0,0,1,65.0,2531.8,2.0583739837398376,1,0,0,0,0,0,1,0,0
188,0,0,0,0,5,1,0,0,0,0,0,0,0,19.25,86.05,0.5736666666666667,1,0,1,0,1,1,1,0,0
189,0,0,0,1,11,0,0,1,0,0,1,0,0,36.05,402.6,1.22,0,0,0,0,0,1,1,0,0
190,1,0,0,0,5,1,0,0,0,0,1,1,1,96.1,453.4,3.0226666666666664,1,1,0,0,1,1,0,0,0
191,0,0,0,0,16,1,0,0,0,0,0,0,0,19.05,326.65,0.6805208333333332,0,0,1,0,0,0,1,0,0
192,0,1,0,0,71,1,1,0,1,0,1,1,1,105.75,7382.85,3.4661267605633803,1,1,0,0,0,0,0,0,1
193,0,0,0,0,11,0,0,0,1,1,1,0,0,40.4,422.6,1.2806060606060607,0,0,0,0,0,1,0,1,0
194,1,0,1,1,61,1,1,0,1,0,0,1,1,99.15,6010.05,3.2841803278688526,0,1,0,0,1,1,0,0,0
195,0,0,1,0,71,1,0,1,1,1,1,1,1,84.8,6046.1,2.838544600938967,0,0,0,0,0,1,0,0,1
196,0,0,0,0,9,1,0,0,0,0,0,0,0,19.85,178.8,0.6622222222222223,1,0,1,0,1,0,1,0,0
197,0,0,0,0,6,1,0,1,0,0,0,0,0,49.45,314.6,1.747777777777778,0,0,0,0,1,1,0,0,0
198,1,0,0,0,26,1,0,0,0,0,0,1,1,88.8,2274.35,2.915833333333333,0,1,0,0,1,1,0,0,1
199,0,0,0,0,6,1,0,1,1,0,0,0,0,55.15,322.9,1.7938888888888889,0,0,0,0,1,0,1,0,0
200,0,0,0,0,11,1,0,0,0,1,0,0,1,84.8,888.75,2.6931818181818183,1,1,0,0,1,0,0,0,0
201,1,0,1,0,1,1,0,0,0,0,0,1,0,80.55,80.55,2.685,1,1,0,0,1,1,0,0,0
202,0,0,1,0,49,1,0,0,0,0,0,0,0,20.15,973.35,0.6621428571428571,0,0,1,1,0,1,0,0,1
203,0,0,1,1,3,1,0,0,1,0,0,1,0,58.7,168.6,1.8733333333333333,0,0,0,0,1,1,0,1,0
204,0,0,0,0,53,1,0,1,1,1,1,0,1,99.5,5424.25,3.411477987421384,0,1,0,1,0,0,1,0,0
205,1,0,1,1,23,1,0,1,0,0,1,1,1,99.85,2331.3,3.378695652173913,1,1,0,0,1,1,0,0,0
206,1,0,0,0,2,1,0,0,0,0,0,0,0,45.35,89.5,1.4916666666666667,1,0,0,0,1,0,0,0,0
207,1,0,0,0,1,1,0,1,0,0,0,0,0,48.55,48.55,1.6183333333333332,1,0,0,0,1,1,1,0,0
208,0,0,0,1,3,1,1,0,0,0,0,0,0,26.4,121.25,1.3472222222222223,1,0,1,1,0,1,1,0,0
209,1,1,1,0,68,1,1,0,1,0,0,1,1,100.2,6851.65,3.358651960784313,0,1,0,0,1,1,0,0,0
210,1,0,0,0,8,1,0,0,0,1,0,1,1,94.7,740.3,3.084583333333333,1,1,0,0,1,1,0,0,0
211,0,0,1,0,70,1,1,0,0,1,0,1,1,97.65,6982.5,3.325,0,1,0,0,0,1,0,0,0
212,0,0,1,1,39,1,1,0,0,1,0,1,1,100.0,3835.55,3.2782478632478638,1,1,0,0,0,0,0,0,0
